UniqueID,_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
253,5fff4c8a0a7214ad4c000025,5.0,All-receipts receipt bonus,2021-01-13 19:39:54,2021-01-13 19:39:54,2021-01-13 19:39:55,2021-01-13 19:39:55,2021-01-13 19:39:55,5.0,2021-01-10 06:00:00,5.0,FINISHED,49.95,5fff4beedf9ace121f0c17ea
254,5fff4c8c0a7214ad4c000026,5.0,All-receipts receipt bonus,2021-01-13 19:39:56,2021-01-13 19:39:56,2021-01-13 19:39:57,2021-01-13 19:39:57,2021-01-13 19:39:57,5.0,2021-01-02 06:00:00,5.0,FINISHED,49.95,5fff4beedf9ace121f0c17ea
255,5fff564d0a720f05f3000038,Null,Null,2021-01-13 20:21:33,2021-01-13 20:21:33,2021-01-13 20:21:33,2021-01-13 20:21:33,2021-01-13 20:21:33,250.0,2021-01-10 06:00:00,5.0,FINISHED,49.95,5fff55dabd4dff11dda8f5f1
256,5fff26cb0a7214ad4c00000e,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-13 16:58:51,2021-01-13 16:58:51,2021-01-13 16:58:53,2021-01-13 16:58:53,2021-01-13 16:58:53,295.0,2021-01-12 16:58:51,2.0,FINISHED,2.0,5fff2698b3348b03eb45bb10
257,5fff4ca90a720f05f300002a,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-13 19:40:25,2021-01-13 19:40:25,2021-01-13 19:40:26,2021-01-13 19:40:26,2021-01-13 19:40:26,100.0,2021-01-13 19:40:25,1.0,FINISHED,0.99,5fff4beedf9ace121f0c17ea
258,5fff0f8c0a7214ad28006e32,5.0,All-receipts receipt bonus,2021-01-13 15:19:40,2021-01-13 15:19:40,2021-01-13 15:19:40,2021-01-13 15:19:40,2021-01-13 15:19:40,305.0,2021-01-12 15:19:40,1.0,FINISHED,1.0,5fff0f4fb3348b03eb45abb0
259,5fff26990a720f05f300000b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-13 16:58:01,2021-01-13 16:58:01,2021-01-13 17:13:04,2021-01-13 17:13:04,2021-01-13 16:58:04,750.0,2021-01-12 00:00:00,5.0,FINISHED,50.0,5fff2698b3348b03eb45bb10
260,5fff26c40a720f05f3000014,5.0,All-receipts receipt bonus,2021-01-13 16:58:44,2021-01-13 16:58:44,2021-01-13 16:58:45,2021-01-13 16:58:49,2021-01-13 16:58:45,5.0,2021-01-13 00:00:00,3.0,FINISHED,22.0,5fff26bfb3348b03eb45bb32
261,5fff26d70a7214ad4c00000f,5.0,All-receipts receipt bonus,2021-01-13 16:59:03,2021-01-13 16:59:03,2021-01-13 16:59:09,2021-01-13 16:59:09,2021-01-13 16:59:03,5.0,2021-01-12 16:59:03,2.0,FINISHED,1.0,5fff2698b3348b03eb45bb10
262,5fff26c60a7214ad4c00000c,5.0,All-receipts receipt bonus,2021-01-13 16:58:46,2021-01-13 16:58:46,2021-01-13 16:58:46,2021-01-13 16:58:51,2021-01-13 16:58:46,5.0,2021-01-13 00:00:00,1.0,FINISHED,22.0,5fff26bfb3348b03eb45bb32
263,5fff0f990a7214ad28006e36,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-13 15:19:53,2021-01-13 15:19:53,2021-01-13 15:19:55,2021-01-13 15:19:55,2021-01-13 15:19:55,50.0,2021-01-12 15:19:53,1.0,FINISHED,1.0,54943462e4b07e684157a532
264,5fff566e0a720f05f300003f,5.0,All-receipts receipt bonus,2021-01-13 20:22:06,2021-01-13 20:22:06,2021-01-13 20:22:06,2021-01-13 20:22:06,2021-01-13 20:22:06,5.0,2021-01-08 06:00:00,5.0,FINISHED,49.95,5fff55dabd4dff11dda8f5f1
265,5fff26f10a7214ad4c000018,Null,Null,2021-01-13 16:59:29,2021-01-13 16:59:29,Null,2021-01-13 16:59:29,Null,8700.0,2021-02-13 16:59:29,10.0,FLAGGED,290.0,5fff2698b3348b03eb45bb10
266,5fff4c710a7214ad4c00001d,5.0,All-receipts receipt bonus,2021-01-13 19:39:29,2021-01-13 19:39:29,2021-01-13 19:39:31,2021-01-13 19:39:31,2021-01-13 19:39:31,5.0,2020-12-31 19:39:29,1.0,FINISHED,1.0,54943462e4b07e684157a532
267,5fff562e0a720f05f300002f,5.0,All-receipts receipt bonus,2021-01-13 20:21:02,2021-01-13 20:21:02,2021-01-13 20:21:03,2021-01-13 20:21:03,2021-01-13 20:21:03,5.0,2020-12-31 20:21:02,1.0,FINISHED,1.0,54943462e4b07e684157a532
268,5fff4c960a720f05f3000027,Null,Null,2021-01-13 19:40:06,2021-01-13 19:40:06,2021-01-13 19:40:07,2021-01-13 19:40:07,2021-01-13 19:40:07,91.2,2021-01-12 19:40:06,4.0,FINISHED,18.2,5fff4beedf9ace121f0c17ea
269,5fff4c7d0a720f05f3000022,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-13 19:39:41,2021-01-13 19:39:41,2021-01-13 19:39:42,2021-01-13 19:39:42,2021-01-13 19:39:42,750.0,2021-01-12 19:39:41,1.0,FINISHED,1.0,5fff4c7d61ffa811fdb0856f
270,6000b8770a720f05f3000069,5.0,All-receipts receipt bonus,2021-01-14 21:32:39,2021-01-14 21:32:39,2021-01-14 21:32:41,2021-01-14 21:32:41,2021-01-14 21:32:41,5.0,2021-01-01 21:32:39,1.0,FINISHED,1.0,54943462e4b07e684157a532
271,6000d4b10a720f05f3000076,5.0,All-receipts receipt bonus,2021-01-14 23:33:05,2021-01-14 23:33:05,2021-01-14 23:33:05,2021-01-14 23:33:10,2021-01-14 23:33:05,5.0,2021-01-14 00:00:00,3.0,FINISHED,21.0,6000d4abe2571211db395b5c
272,6000b8840a720f05f300006c,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 21:32:52,2021-01-14 21:32:52,2021-01-14 21:32:52,2021-01-14 21:32:52,2021-01-14 21:32:52,750.0,2021-01-13 21:32:52,1.0,FINISHED,1.0,6000b884fb296c121a81ad3b
273,6000b8280a720f05f3000061,5.0,All-receipts receipt bonus,2021-01-14 21:31:20,2021-01-14 21:31:20,2021-01-14 21:31:21,2021-01-14 21:31:21,2021-01-14 21:31:21,5.0,2021-01-11 06:00:00,5.0,FINISHED,49.95,6000b7aefb296c121a8198b1
274,6000b8810a7214ad4c00005e,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-14 21:32:49,2021-01-14 21:32:49,2021-01-14 21:32:50,2021-01-14 21:32:50,2021-01-14 21:32:50,50.0,2021-01-13 21:32:49,1.0,FINISHED,1.0,54943462e4b07e684157a532
275,6000d48d0a7214ad4c000063,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 23:32:29,2021-01-14 23:32:29,2021-01-14 23:47:31,2021-01-14 23:47:31,2021-01-14 23:32:31,500.0,2021-01-13 00:00:00,5.0,FINISHED,50.0,6000d46cfb296c121a81b20c
276,6000d4b00a7214ad4c00006c,5.0,All-receipts receipt bonus,2021-01-14 23:33:04,2021-01-14 23:33:04,2021-01-14 23:33:04,2021-01-14 23:33:09,2021-01-14 23:33:04,5.0,2021-01-14 00:00:00,1.0,FINISHED,20.0,6000d4abe2571211db395b5c
277,6000d4d30a720f05f3000081,Null,Null,2021-01-14 23:33:39,2021-01-14 23:33:39,Null,2021-01-14 23:33:39,Null,Null,2017-10-30 00:00:00,3.0,REJECTED,3.0,6000d46cfb296c121a81b20c
278,6000b87d0a7214ad4c00005d,5.0,All-receipts receipt bonus,2021-01-14 21:32:45,2021-01-14 21:32:45,2021-01-14 21:32:46,2021-01-14 21:32:46,2021-01-14 21:32:46,5.0,2021-01-13 21:32:45,1.0,FINISHED,1.0,54943462e4b07e684157a532
279,6000b2be0a7214ad4c00004d,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 21:08:14,2021-01-14 21:08:14,2021-01-14 21:08:22,2021-01-14 21:36:44,2021-01-14 21:08:22,682.4,2021-01-14 00:00:00,21.0,FINISHED,84.78,5e27526d0bdb6a138c32b556
280,6000c8460a720f05f300006f,Null,Null,2021-01-14 22:40:06,2021-01-14 22:40:06,2021-01-14 22:40:15,2021-01-14 22:40:17,2021-01-14 22:40:15,837.4,2021-01-14 00:00:00,21.0,FINISHED,101.75,5e27526d0bdb6a138c32b556
281,6000d4ae0a720f05f3000075,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 23:33:02,2021-01-14 23:33:02,2021-01-14 23:33:03,2021-01-14 23:33:08,2021-01-14 23:33:03,100.0,2021-01-14 00:00:00,4.0,FINISHED,20.0,6000d4abe2571211db395b5c
282,6000d4aa0a720f05f3000072,Null,Null,2021-01-14 23:32:58,2021-01-14 23:32:58,Null,2021-01-14 23:32:58,Null,Null,Null,0.0,FLAGGED,0.0,6000d4aafb296c121a81b27e
283,6000b9b70a720f05f300006d,Null,Null,2021-01-14 21:37:59,2021-01-14 21:37:59,2021-01-14 21:38:06,2021-01-14 21:38:09,2021-01-14 21:38:06,237.8,2021-01-14 00:00:00,21.0,FINISHED,90.36,5e27526d0bdb6a138c32b556
284,600056de0a720f05f3000049,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-14 14:36:14,2021-01-14 14:36:14,2021-01-14 14:36:15,2021-01-14 14:36:15,2021-01-14 14:36:15,160.0,2021-01-13 14:36:14,2.0,FINISHED,2.0,600056a3f7e5b011fce897b0
285,6000b82f0a720f05f3000063,Null,Null,2021-01-14 21:31:27,2021-01-14 21:31:27,2021-01-14 21:31:27,2021-01-14 21:31:27,2021-01-14 21:31:27,250.0,2021-01-09 06:00:00,5.0,FINISHED,49.95,6000b7aefb296c121a8198b1
286,6000accd0a7214ad4c00004b,Null,Null,2021-01-14 20:42:51,2021-01-14 20:42:51,Null,2021-01-14 20:42:51,Null,Null,Null,Null,SUBMITTED,Null,5a43c08fe4b014fd6b6a0612
287,6000d4810a720f05f3000070,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 23:32:17,2021-01-14 23:32:17,2021-01-14 23:32:20,2021-01-14 23:32:25,2021-01-14 23:32:18,750.0,2021-01-13 23:32:17,2.0,FINISHED,11.0,6000d46cfb296c121a81b20c
288,600057040a7214ad4c000041,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 14:36:52,2021-01-14 14:36:52,2021-01-14 14:36:53,2021-01-14 14:36:57,2021-01-14 14:36:53,750.0,2021-01-14 00:00:00,6.0,FINISHED,25.0,60005704bd4dff11dda90a9d
289,6000d4b50a720f05f3000078,5.0,All-receipts receipt bonus,2021-01-14 23:33:09,2021-01-14 23:33:09,Null,2021-01-14 23:33:14,Null,5.0,2021-01-14 00:00:00,1.0,REJECTED,10.0,6000d4b5fb296c121a81b2bd
290,6000d4ba0a720f05f300007a,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 23:33:14,2021-01-14 23:33:14,Null,2021-01-14 23:33:15,2021-01-14 23:33:15,750.0,2021-01-13 23:33:14,1.0,FLAGGED,1.0,6000d4bae2571211db395b9f
291,6000c74b0a7214ad4c000060,Null,Null,2021-01-14 22:35:53,2021-01-14 22:35:53,Null,2021-01-14 22:35:53,Null,Null,Null,Null,SUBMITTED,Null,5a43c08fe4b014fd6b6a0612
292,600056d60a720f05f3000047,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 14:36:06,2021-01-14 14:36:06,Null,2021-01-14 14:36:08,2021-01-14 14:36:08,810.0,2021-01-13 14:36:06,5.0,FLAGGED,13.0,600056d6bd4dff11dda90a3f
293,6000d4900a7214ad4c000064,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 23:32:32,2021-01-14 23:32:32,2021-01-14 23:32:33,2021-01-14 23:32:33,2021-01-14 23:32:33,350.0,2021-01-07 00:00:00,1.0,FINISHED,10.0,6000d46cfb296c121a81b20c
294,6000d4bc0a7214ad4c000070,Null,Null,2021-01-14 23:33:16,2021-01-14 23:33:16,Null,2021-01-14 23:33:17,Null,8700.0,2021-02-14 23:33:17,10.0,FLAGGED,290.0,6000d46cfb296c121a81b20c
295,600082b40a720f05f3000058,Null,Null,2021-01-14 17:43:16,2021-01-14 17:43:16,Null,2021-01-14 17:46:31,Null,Null,2021-01-14 00:00:00,4.0,REJECTED,4.0,5e56d38507a0df22a15dfc85
296,6000d4ac0a7214ad4c000069,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-14 23:33:00,2021-01-14 23:33:00,2021-01-14 23:33:01,2021-01-14 23:33:05,2021-01-14 23:33:01,250.0,2021-01-14 00:00:00,3.0,FINISHED,23.0,6000d4abe2571211db395b5c
297,600056da0a720f05f3000048,5.0,All-receipts receipt bonus,2021-01-14 14:36:10,2021-01-14 14:36:10,2021-01-14 14:36:11,2021-01-14 14:36:16,2021-01-14 14:36:10,5.0,2021-01-13 14:36:10,2.0,FINISHED,11.0,600056a3f7e5b011fce897b0
298,6000b8590a7214ad4c000057,5.0,All-receipts receipt bonus,2021-01-14 21:32:09,2021-01-14 21:32:09,2021-01-14 21:32:10,2021-01-14 21:32:10,2021-01-14 21:32:10,5.0,2021-01-13 21:32:09,4.0,FINISHED,18.2,6000b7aefb296c121a8198b1
299,600056ea0a720f05f300004b,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-14 14:36:26,2021-01-14 14:36:26,Null,2021-01-14 14:36:26,Null,25.0,2021-01-13 14:36:26,1.0,FLAGGED,1.0,600056a3f7e5b011fce897b0
300,600205f60a7214ad4c00007b,Null,Null,2021-01-15 21:15:32,2021-01-15 21:15:32,Null,2021-01-15 21:15:32,Null,Null,Null,Null,SUBMITTED,Null,6000b75bbe5fc96dfee1d4d3
301,600206000a720f05f3000087,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-15 21:15:44,2021-01-15 21:15:44,2021-01-15 21:17:17,2021-01-15 21:17:27,2021-01-15 21:17:17,855.7,2021-01-09 00:00:00,86.0,FINISHED,271.63,6000b75bbe5fc96dfee1d4d3
302,6001bb110a720f05f3000085,Null,Null,2021-01-15 15:56:01,2021-01-15 15:56:01,Null,2021-01-15 15:56:01,Null,Null,Null,Null,SUBMITTED,Null,6000b75bbe5fc96dfee1d4d3
303,600208270a720f05f3000088,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-15 21:24:55,2021-01-15 21:24:55,2021-01-15 21:26:19,2021-01-15 21:26:29,2021-01-15 21:26:19,605.7,2021-01-09 00:00:00,103.0,FINISHED,427.81,6000b75bbe5fc96dfee1d4d3
304,6001e3a80a7214ad4c000078,Null,Null,2021-01-15 18:49:10,2021-01-15 18:49:10,Null,2021-01-15 18:49:10,Null,Null,Null,Null,SUBMITTED,Null,5a43c08fe4b014fd6b6a0612
305,600373700a720f05f3000091,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 23:14:56,2021-01-16 23:14:56,2021-01-16 23:29:50,2021-01-16 23:31:40,2021-01-16 23:29:50,2416.7,2021-01-16 00:00:00,211.0,FINISHED,803.48,60037329e257124ec6b99eeb
306,60023e8f0a720f05f300008b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 01:17:03,2021-01-16 01:17:03,2021-01-16 01:24:04,2021-01-16 01:24:50,2021-01-16 01:24:04,1806.4,2021-01-05 00:00:00,202.0,FINISHED,776.79,60023de5fb296c121a81b955
307,600247cd0a7214ad4c00007e,Null,Null,2021-01-16 01:56:29,2021-01-16 01:56:29,Null,2021-01-16 01:56:29,Null,Null,Null,Null,SUBMITTED,Null,6002475cfb296c121a81b98d
308,60025eb70a720f05f300008e,Null,Null,2021-01-16 03:34:15,2021-01-16 03:34:15,Null,2021-01-16 03:34:15,Null,Null,Null,Null,SUBMITTED,Null,60025c65fb296c4ef805d9e6
309,60020d2a0a720f05f300008a,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-15 21:46:18,2021-01-15 21:46:18,2021-01-15 21:49:45,2021-01-16 01:13:21,2021-01-15 21:49:45,405.7,2021-01-09 00:00:00,93.0,FINISHED,373.55,6000b75bbe5fc96dfee1d4d3
310,6002590c0a7214ad4c000082,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 03:10:04,2021-01-16 03:10:04,2021-01-16 03:18:55,2021-01-16 03:19:12,2021-01-16 03:18:55,1516.9,2021-01-14 00:00:00,208.0,FINISHED,746.94,600258dafb296c4ef805d9b7
311,600254550a720f05f300008c,Null,Null,2021-01-16 02:49:57,2021-01-16 02:49:57,Null,2021-01-16 02:49:57,Null,Null,Null,Null,SUBMITTED,Null,6002541ae257124ec6b99a3a
312,60024fa00a7214ad4c00007f,Null,Null,2021-01-16 02:29:52,2021-01-16 02:29:52,Null,2021-01-16 02:29:52,Null,Null,Null,Null,SUBMITTED,Null,60024f24e257124ec6b99a13
313,60025f550a7214ad4c000084,Null,Null,2021-01-16 03:36:53,2021-01-16 03:36:53,Null,2021-01-16 03:36:53,Null,Null,Null,Null,SUBMITTED,Null,60025c65fb296c4ef805d9e6
314,60025cb80a720f05f300008d,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 03:25:44,2021-01-16 03:25:44,2021-01-16 03:31:55,2021-01-16 03:32:05,2021-01-16 03:31:55,1658.3,2021-01-15 00:00:00,335.0,FINISHED,1177.84,60025c65fb296c4ef805d9e6
315,600370250a720f05f3000090,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 23:00:53,2021-01-16 23:00:53,2021-01-16 23:09:03,2021-01-16 23:09:29,2021-01-16 23:09:03,2685.8,2021-01-16 00:00:00,240.0,FINISHED,850.49,60037005e257124ec6b99ec2
316,6002584e0a7214ad4c000081,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 03:06:54,2021-01-16 03:06:54,2021-01-16 03:07:00,2021-01-16 03:07:05,2021-01-16 03:07:00,879.1,2021-01-15 00:00:00,6.0,FINISHED,30.65,6002541ae257124ec6b99a3a
317,60020af60a720f05f3000089,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-15 21:36:54,2021-01-15 21:36:54,2021-01-15 21:43:05,2021-01-16 01:13:21,2021-01-15 21:43:05,250.0,2021-01-15 00:00:00,1.0,FINISHED,3.99,6000b75bbe5fc96dfee1d4d3
318,600260210a720f05f300008f,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 03:40:17,2021-01-16 03:40:17,2021-01-16 03:47:26,2021-01-16 03:47:31,2021-01-16 03:47:26,3659.4,2021-01-15 00:00:00,309.0,FINISHED,1043.18,60025fe0e257124ec6b99a87
319,600498e60a720f05f3000093,Null,Null,2021-01-17 20:07:02,2021-01-17 20:07:02,Null,2021-01-17 20:07:02,Null,Null,Null,Null,SUBMITTED,Null,600498c4e257124ec6b9a331
320,60037b500a7214ad4c000086,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-16 23:48:32,2021-01-16 23:48:32,2021-01-17 00:03:15,2021-01-17 00:04:22,2021-01-17 00:03:15,934.4,2021-01-16 00:00:00,39.0,FINISHED,118.05,60037a94fb296c4ef805ddbe
321,6004a5f20a7214ad4c000088,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-17 21:02:42,2021-01-17 21:02:42,2021-01-17 21:09:44,2021-01-17 21:14:15,2021-01-17 21:09:44,877.7,2021-01-09 00:00:00,164.0,FINISHED,574.16,6004a5d3fb296c4ef805e256
322,600496350a7214ad4c000087,Null,Null,2021-01-17 19:55:33,2021-01-17 19:55:33,Null,2021-01-17 19:55:33,Null,Null,Null,Null,SUBMITTED,Null,600495c3fb296c4ef805e1fc
323,60048e120a720f05f3000092,Null,Null,2021-01-17 19:20:50,2021-01-17 19:20:50,Null,2021-01-17 19:20:50,Null,Null,Null,Null,SUBMITTED,Null,5fa32b4d898c7a11a6bcebce
324,60049d9d0a720f05f3000094,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-17 20:27:09,2021-01-17 20:27:09,2021-01-17 20:40:36,2021-01-17 20:41:17,2021-01-17 20:40:36,922.1,2021-01-01 00:00:00,212.0,FINISHED,743.79,60049cdce257124ec6b9a353
325,6005ee0e0a7214ad4c000089,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-18 20:22:36,2021-01-18 20:22:36,Null,2021-01-18 20:23:09,Null,800.0,2021-01-17 00:00:00,2.0,FLAGGED,10.0,5fb0a078be5fc9775c1f3945
326,6005b60f0a720f05f3000096,Null,Null,2021-01-18 16:23:41,2021-01-18 16:23:41,Null,2021-01-18 16:23:41,Null,Null,Null,Null,SUBMITTED,Null,5a43c08fe4b014fd6b6a0612
327,6004a99e0a720f05f3000095,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-17 21:18:21,2021-01-17 21:18:21,2021-01-17 21:26:38,2021-01-18 15:01:00,2021-01-17 21:26:38,1541.8,2021-01-09 00:00:00,167.0,FINISHED,574.65,6004a965e257124ec6b9a39f
328,6005f5450a720f05f3000097,Null,Null,2021-01-18 20:53:23,2021-01-18 20:53:23,Null,2021-01-18 20:53:23,Null,Null,Null,Null,SUBMITTED,Null,5a43c08fe4b014fd6b6a0612
329,6001f2470a7214ad4c00007a,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-15 19:51:35,2021-01-15 19:51:35,2021-01-18 20:26:54,2021-01-18 20:27:06,2021-01-18 20:26:54,750.0,2021-01-13 00:00:00,1.0,FINISHED,1.0,5fb0a078be5fc9775c1f3945
330,60074bbf0a720f05fa000039,5.0,All-receipts receipt bonus,2021-01-19 21:14:39,2021-01-19 21:14:39,2021-01-19 21:14:40,2021-01-19 21:14:40,2021-01-19 21:14:40,5.0,2021-01-18 21:14:39,1.0,FINISHED,10.0,60074b49325c8a1794623876
331,600741fe0a7214ad89000001,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-19 20:33:02,2021-01-19 20:33:02,2021-01-19 20:33:06,2021-01-19 20:33:06,2021-01-19 20:33:06,1000.0,2021-01-14 06:00:00,5.0,FINISHED,49.95,600741d06e6469120a787853
332,60074b8b0a7214ad89000029,5.0,All-receipts receipt bonus,2021-01-19 21:13:47,2021-01-19 21:13:47,2021-01-19 21:13:47,2021-01-19 21:13:47,2021-01-19 21:13:47,5.0,2021-01-18 21:13:47,4.0,FINISHED,4.66,60074b49325c8a1794623876
333,6007423c0a720f05fa000001,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-19 20:34:04,2021-01-19 20:34:04,2021-01-19 20:34:05,2021-01-19 20:34:05,2021-01-19 20:34:05,755.0,2021-01-18 20:34:04,1.0,FINISHED,1.0,6007423b6e6469120a787c2c
334,600748640a720f05fa000026,Null,Null,2021-01-19 21:00:20,2021-01-19 21:00:20,2021-01-19 21:00:20,2021-01-19 21:00:20,2021-01-19 21:00:20,350.0,2021-01-19 21:00:20,1.0,FINISHED,9.99,600748196e64691717e8d4f0
335,60074bbd0a7214ad89000031,Null,Null,2021-01-19 21:14:37,2021-01-19 21:14:37,2021-01-19 21:14:37,2021-01-19 21:14:37,2021-01-19 21:14:37,125.0,2021-01-16 06:00:00,5.0,FINISHED,25.0,60074b49325c8a1794623876
336,600746ce0a720f05fa000017,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-19 20:53:34,2021-01-19 20:53:34,2021-01-19 20:53:35,2021-01-19 20:53:35,2021-01-19 20:53:35,50.0,2021-01-18 20:53:34,1.0,FINISHED,1.0,6007464b6e64691717e8c1f0
337,6007425e0a720f05fa00000a,5.0,All-receipts receipt bonus,2021-01-19 20:34:38,2021-01-19 20:34:38,2021-01-19 20:34:39,2021-01-19 20:34:39,2021-01-19 20:34:39,5.0,2021-01-18 20:34:38,1.0,FINISHED,1.0,600741d06e6469120a787853
338,60074b930a7214ad8900002d,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-19 21:13:55,2021-01-19 21:13:55,2021-01-19 21:13:56,2021-01-19 21:13:56,2021-01-19 21:13:56,50.0,2021-01-18 21:13:55,1.0,FINISHED,1.0,54943462e4b07e684157a532
339,600746fb0a7214ad8900001b,45.0,COMPLETE_PARTNER_RECEIPT,2021-01-19 20:54:19,2021-01-19 20:54:19,2021-01-19 20:54:20,2021-01-19 20:54:20,2021-01-19 20:54:20,50.0,2021-01-18 20:54:19,1.0,FINISHED,1.0,54943462e4b07e684157a532
340,600742490a720f05fa000004,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-19 20:34:17,2021-01-19 20:34:17,2021-01-19 20:34:18,2021-01-19 20:34:18,2021-01-19 20:34:18,250.0,2021-01-16 06:00:00,5.0,FINISHED,25.0,600741d06e6469120a787853
341,60074bcb0a7214ad89000037,5.0,All-receipts receipt bonus,2021-01-19 21:14:51,2021-01-19 21:14:51,2021-01-19 21:14:51,2021-01-19 21:14:51,2021-01-19 21:14:51,5.0,2021-01-18 21:14:51,1.0,FINISHED,1.0,60074b49325c8a1794623876
342,6007424d0a720f05fa000006,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-19 20:34:21,2021-01-19 20:34:21,2021-01-19 20:34:21,2021-01-19 20:34:21,2021-01-19 20:34:21,150.0,2021-01-18 20:34:21,1.0,FINISHED,10.0,600741d06e6469120a787853
343,60074b900a7214ad8900002b,5.0,All-receipts receipt bonus,2021-01-19 21:13:52,2021-01-19 21:13:52,2021-01-19 21:13:53,2021-01-19 21:13:53,2021-01-19 21:13:53,5.0,2021-01-06 21:13:52,1.0,FINISHED,1.0,54943462e4b07e684157a532
344,60074bcc0a7214ad89000038,5.0,All-receipts receipt bonus,2021-01-19 21:14:52,2021-01-19 21:14:52,2021-01-19 21:14:53,2021-01-19 21:14:53,2021-01-19 21:14:53,5.0,2021-01-14 06:00:00,5.0,FINISHED,49.95,60074b49325c8a1794623876
345,600746fd0a720f05fa00001f,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-19 20:54:21,2021-01-19 20:54:21,2021-01-19 20:54:21,2021-01-19 20:54:21,2021-01-19 20:54:21,755.0,2021-01-18 20:54:21,1.0,FINISHED,1.0,600746fd6e64691717e8cfb5
